Drug Name,Side Effects,Age Category,Medical Condition
Doxycycline,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Spironolactone,"Nausea, vomiting, diarrhea, dizziness",Adult,"High blood pressure, heart failure, edema"
Minocycline,"Nausea, vomiting, diarrhea, dizziness",All,"Bacterial infections, acne treatment"
Accutane,"Dry skin, chapped lips, nosebleeds, muscle pain",Adult,Severe acne treatment
Clindamycin,"Nausea, vomiting, diarrhea, skin rash",All,Bacterial infections
Aldactone,"Nausea, vomiting, diarrhea, dizziness, headache",Adult,"High blood pressure, edema, heart failure"
Tretinoin,"Dryness, redness, peeling, itching",All,"Acne treatment, wrinkle treatment"
Isotretinoin,"Dry skin, chapped lips, nosebleeds, muscle pain",All,Severe acne treatment
Bactrim,"Nausea, vomiting, diarrhea, skin rash",All,Bacterial infections
Retin-A,"Dryness, redness, peeling, itching",All,"Acne treatment, wrinkle treatment"
Aczone,"Dryness, redness, itching, oiliness",All,Acne treatment
Benzoyl Peroxide,"Dryness, redness, peeling, itching",All,Acne treatment
Differin,"Dryness, redness, peeling, itching",All,Acne treatment
Epiduo,"Dryness, redness, peeling, itching",All,Acne treatment
Adapalene,"Dryness, redness, peeling, itching",All,Acne treatment
Cephalexin,"Nausea, vomiting, diarrhea, skin rash",All,Bacterial infections
Doryx,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Tetracycline,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,Bacterial infections
Septra,"Nausea, vomiting, diarrhea, skin rash",All,"Bacterial infections, urinary tract infections"
Solodyn,"Nausea, vomiting, diarrhea, dizziness",All,"Bacterial infections, acne treatment"
Tazorac,"Dryness, redness, peeling, itching",All,"Acne treatment, psoriasis treatment"
Vibramycin,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Acticlate,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Benzoyl Peroxide/Clindamycin,"Dryness, redness, peeling, itching, skin irritation",All,Acne treatment
Doxy 100,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Keflex,"Nausea, vomiting, diarrhea, skin rash",All,Bacterial infections
Sulfamethoxazole/Trimethoprim,"Nausea, vomiting, diarrhea, skin rash",All,"Bacterial infections, urinary tract infections"
Benzaclin,"Dryness, redness, peeling, itching",All,Acne treatment
Monodox,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Targadox,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Adoxa,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Adoxa CK,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Adoxa Pak,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Adoxa TT,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Avidoxy,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Bactrim DS,"Nausea, vomiting, diarrhea, skin rash",All,"Bacterial infections, urinary tract infections"
Cleocin T,"Nausea, vomiting, diarrhea, skin rash",All,Bacterial infections
Clindagel,"Dryness, redness, peeling, itching",All,Acne treatment
Doryx MPC,"Nausea, vomiting, diarrhea, skin sensitivity to sunlight",All,"Bacterial infections, acne treatment"
Erythromycin,"Nausea, vomiting, diarrhea, stomach cramps",All,Bacterial infections
Morgidox,"Nausea, vomiting, diarrhea, stomach upset",All,"Bacterial infections, acne treatment"
Oraxyl,"Nausea, vomiting, diarrhea, stomach pain",All,Bacterial infections
Claravis,"Dryness, peeling, itching, nosebleeds",All,Acne treatment
Clinda-Derm,"Dryness, redness, itching, burning",All,"Bacterial infections, acne treatment"
Evoclin,"Dryness, redness, itching, skin irritation",All,Acne treatment
Minocin,"Nausea, vomiting, diarrhea, dizziness",All,"Bacterial infections, acne treatment"
